,training_size,number of trees,tree depth,training efficiency,testing efficiency
92,0.6,25,6,0.6425523958457275,0.6246653578440121
93,0.6,25,7,0.6535669969913821,0.6252007852935927
94,0.6,25,8,0.6708707994084752,0.624639861298794
95,0.6,25,9,0.6914381873502066,0.6245378751179215
96,0.6,26,4,0.6298550084139314,0.622574641136126
97,0.6,26,5,0.6359062399075317,0.6227021238622167
98,0.6,26,6,0.6428753548299366,0.6247673440248847
99,0.6,26,7,0.6546038653091057,0.6257362127431733
100,0.6,26,8,0.6717376893134572,0.6251242956579384
101,0.6,26,9,0.6929679930648808,0.6250987991127203
102,0.6,27,4,0.6300419846679471,0.622778613497871
103,0.6,27,5,0.6363311859393856,0.6224981515004717
104,0.6,27,6,0.6448301065764648,0.624435888937049
105,0.6,27,7,0.6554027638489912,0.6249203232961934
106,0.6,27,8,0.6739984022029202,0.6249203232961934
107,0.6,27,9,0.6936989002396695,0.6250223094770658
108,0.6,28,4,0.6299569954615764,0.6229060962239616
109,0.6,28,5,0.6362801924155632,0.6228551031335254
110,0.6,28,6,0.6451700634019479,0.6247928405701028
111,0.6,28,7,0.6567455933096497,0.6254812472909921
112,0.6,28,8,0.6746783158538866,0.624639861298794
113,0.6,28,9,0.6950587275416023,0.625455750745774
114,0.6,29,4,0.6304329350172528,0.623390530583106
115,0.6,29,5,0.636365181621934,0.6226511307717805
116,0.6,29,6,0.6454420288623345,0.6242319165753041
117,0.6,29,7,0.6575104961669868,0.6258636954692639
118,0.6,29,8,0.6750012748380956,0.6247928405701028
119,0.6,29,9,0.696860498716663,0.6250733025675022
120,0.6,30,4,0.6301609695568663,0.6232630478570154
121,0.6,30,5,0.6369091125427071,0.6229060962239616
122,0.6,30,6,0.6462069317196716,0.624435888937049
123,0.6,30,7,0.6582753990243239,0.6259146885597001
124,0.6,30,8,0.6760721388383675,0.6247163509344483
125,0.6,30,9,0.6986282742091754,0.6262461436475357
126,0.6,31,4,0.630347945810882,0.6234670202187603
127,0.6,31,5,0.6373000628920127,0.6228296065883073
128,0.6,31,6,0.6468868453706379,0.6251242956579384
129,0.6,31,7,0.658496370960888,0.6262206471023176
130,0.6,31,8,0.6770410157909945,0.6245888682083578
131,0.6,31,9,0.6989342353521103,0.6262206471023176
132,0.6,32,4,0.6310618551443966,0.6237219856709416
133,0.6,32,5,0.6380479679080757,0.6234415236735422
134,0.6,32,6,0.6477707331168941,0.6253282680196833
135,0.6,32,7,0.6597202155326274,0.6257362127431733
136,0.6,32,8,0.677737927283235,0.6250733025675022
137,0.6,32,9,0.6999371079872856,0.6257362127431733
138,0.6,33,4,0.6312828270809607,0.6240279442135591
139,0.6,33,5,0.6380649657493498,0.6236199994900691
140,0.6,33,6,0.6478727201645391,0.6255577369266464
141,0.6,33,7,0.6608930665805443,0.6263226332831902
142,0.6,33,8,0.6777039316006868,0.6252262818388108
143,0.6,33,9,0.700736006527171,0.6254812472909921
144,0.6,34,4,0.6313848141286057,0.6235690063996329
145,0.6,34,5,0.6384389182573813,0.623594502944851
